threshold,total_accepted,true_positives,false_positives,false_negatives,precision_pct,recall_pct,f1_pct
0.01,803,616,187,3,76.7,99.5,86.6
0.02,777,609,168,10,78.4,98.4,87.2
0.03,746,598,148,21,80.2,96.6,87.6
0.05,693,567,126,52,81.8,91.6,86.4
0.08,627,523,104,96,83.4,84.5,83.9
0.1,584,496,88,123,84.9,80.1,82.5
0.15,502,434,68,185,86.5,70.1,77.4
0.2,436,378,58,241,86.7,61.1,71.7
0.3,351,306,45,313,87.2,49.4,63.1
0.4,268,241,27,378,89.9,38.9,54.3
0.5,212,194,18,425,91.5,31.3,46.7
0.6,179,166,13,453,92.7,26.8,41.6